iter	Passed	Remaining
400	18246	27255
401	18288	27205
402	18331	27156
403	18380	27115
404	18428	27073
405	18475	27030
406	18514	26976
407	18560	26930
408	18602	26879
409	18653	26842
410	18698	26796
411	18747	26755
412	18792	26710
413	18838	26665
414	18880	26614
415	18924	26567
416	18968	26518
417	19009	26468
418	19055	26423
419	19101	26377
420	19147	26333
421	19187	26280
422	19230	26231
423	19276	26186
424	19318	26136
425	19362	26089
426	19403	26038
427	19445	25988
428	19486	25937
429	19528	25886
430	19576	25844
431	19626	25804
432	19671	25759
433	19713	25709
434	19759	25664
435	19804	25618
436	19848	25571
437	19892	25523
438	19937	25478
439	19981	25430
440	20022	25379
441	20065	25331
442	20105	25279
443	20151	25235
444	20196	25189
445	20241	25142
446	20282	25092
447	20324	25043
448	20369	24996
449	20411	24947
450	20458	24904
451	20502	24857
452	20540	24803
453	20585	24756
454	20629	24709
455	20674	24664
456	20715	24613
457	20755	24562
458	20798	24514
459	20842	24466
460	20887	24421
461	20933	24377
462	20975	24327
463	21019	24281
464	21065	24237
465	21113	24195
466	21160	24150
467	21204	24104
468	21249	24058
469	21272	23988
470	21312	23936
471	21353	23887
472	21397	23840
473	21435	23787
474	21476	23736
475	21519	23689
476	21563	23643
477	21614	23603
478	21657	23556
479	21698	23507
480	21745	23463
481	21789	23417
482	21831	23368
483	21871	23317
484	21915	23271
485	21958	23223
486	22005	23180
487	22048	23133
488	22091	23085
489	22134	23038
490	22174	22987
491	22219	22941
492	22264	22896
493	22308	22850
494	22355	22806
495	22397	22758
496	22445	22716
497	22490	22670
498	22535	22626
499	22583	22583
500	22628	22538
501	22674	22493
502	22719	22448
503	22763	22401
504	22804	22352
505	22846	22305
506	22891	22259
507	22937	22215
508	22987	22174
509	23032	22128
510	23085	22091
511	23130	22045
512	23172	21998
513	23214	21949
514	23254	21899
515	23301	21856
516	23345	21810
517	23392	21767
518	23435	21719
519	23477	21671
520	23525	21629
521	23564	21577
522	23613	21536
523	23660	21492
524	23704	21447
525	23747	21400
526	23788	21351
527	23832	21304
528	23874	21256
529	23921	21213
530	23969	21170
531	24018	21129
532	24064	21085
533	24108	21038
534	24153	20992
535	24198	20947
536	24241	20901
537	24286	20855
538	24328	20808
539	24372	20762
540	24418	20717
541	24466	20674
542	24507	20626
543	24553	20581
544	24599	20536
545	24642	20490
546	24681	20439
547	24727	20395
548	24769	20347
549	24811	20300
550	24856	20255
551	24902	20210
552	24945	20163
553	24989	20118
554	25030	20069
555	25075	20024
556	25120	19979
557	25166	19934
558	25209	19887
559	25254	19842
560	25302	19799
561	25345	19752
562	25386	19704
563	25428	19657
564	25470	19609
565	25513	19563
566	25557	19517
567	25610	19478
568	25653	19431
569	25698	19386
570	25744	19342
571	25782	19291
572	25827	19246
573	25869	19199
574	25910	19151
575	25952	19104
576	25998	19059
577	26040	19012
578	26087	18968
579	26132	18923
580	26178	18879
581	26221	18832
582	26264	18785
583	26302	18736
584	26342	18687
585	26386	18641
586	26433	18597
587	26474	18550
588	26517	18503
589	26563	18459
590	26609	18414
591	26657	18372
592	26700	18325
593	26746	18281
594	26787	18233
595	26835	18190
596	26877	18143
597	26913	18092
598	26957	18046
599	27000	18000
600	27042	17953
601	27089	17909
602	27134	17864
603	27182	17821
604	27223	17774
605	27267	17728
606	27309	17681
607	27352	17635
608	27398	17590
609	27442	17545
610	27492	17503
611	27538	17459
612	27590	17418
613	27630	17370
614	27673	17323
615	27717	17278
616	27761	17232
617	27809	17189
618	27853	17144
619	27896	17097
620	27941	17053
621	27981	17005
622	28019	16955
623	28058	16906
624	28099	16859
625	28137	16810
626	28179	16763
627	28215	16713
628	28254	16665
629	28292	16616
630	28330	16567
631	28373	16521
632	28409	16471
633	28454	16426
634	28498	16381
635	28543	16336
636	28591	16292
637	28638	16249
638	28683	16204
639	28728	16159
640	28771	16114
641	28819	16070
642	28861	16024
643	28907	15979
644	28952	15934
645	28991	15886
646	29032	15840
647	29070	15791
648	29116	15747
649	29160	15701
650	29205	15657
651	29243	15608
652	29284	15561
653	29321	15512
654	29367	15468
655	29407	15420
656	29448	15374
657	29493	15329
658	29537	15283
659	29584	15240
660	29629	15195
661	29669	15148
662	29708	15100
663	29751	15055
664	29796	15010
665	29839	14964
666	29883	14919
667	29928	14874
668	29972	14829
669	30019	14785
670	30063	14740
671	30107	14695
672	30153	14651
673	30190	14602
674	30229	14554
675	30276	14511
676	30318	14464
677	30363	14420
678	30406	14374
679	30451	14330
680	30493	14283
681	30536	14238
682	30584	14195
683	30623	14147
684	30660	14099
685	30698	14051
686	30739	14005
687	30778	13957
688	30817	13910
689	30852	13861
690	30892	13814
691	30927	13765
692	30964	13717
693	31005	13671
694	31043	13623
695	31085	13577
696	31130	13533
697	31175	13488
698	31219	13443
699	31264	13399
700	31309	13354
701	31351	13308
702	31396	13264
703	31440	13219
704	31487	13175
705	31532	13131
706	31581	13088
707	31620	13041
708	31658	12993
709	31700	12948
710	31738	12900
711	31774	12852
712	31814	12806
713	31852	12758
714	31891	12711
715	31929	12664
716	31971	12619
717	32013	12573
718	32059	12529
719	32097	12482
720	32133	12434
721	32170	12386
722	32208	12339
723	32245	12292
